id,name,url,regular_price,promo_price,brand
590568,Пиканья говяжья зерновой откорм охлажденная,https://online.metro-cc.ru/products/stejk-pikanya-govyazhij-zernovoj-otkorm-vakumnaya-upakovka-argentina,Раскупили,,Без бренда
206727,"Часть говяжья Вахавяк Плюс лопаточная фирменная охлажденная, ~2кг",https://online.metro-cc.ru/products/2kg-lopatochnaya-chast-govyazhya-firmennaya-ohlazhdennaya-vu-vp,Раскупили,,ВАХАВЯК ПЛЮС
131586,Корейка баранья Хан Баран 8 ребер охлажденная,https://online.metro-cc.ru/products/korejka-han-8-reber-ohl-v-u,Раскупили,,ХАН БАРАН
208542,"Окорок Bazarco на кости без голяшки охлажденный, ~1кг",https://online.metro-cc.ru/products/1kg-okorok-na-kosti-bez-golyashki-bazarco-ohl-vu,Раскупили,,BAZARCO
131357,"Шея говяжья Вахавяк Плюс без кости охлажденная, ~5кг",https://online.metro-cc.ru/products/sheya-govyazhya-b-k-ohl-v-u,Раскупили,,ВАХАВЯК ПЛЮС
131587,Часть бедра внутренняя без кости говядина Диета18 охлажденная,https://online.metro-cc.ru/products/vnutrennyaya-chast-bedra-b-k-dieta-18-ohl-v-u,Раскупили,,ДИЕТА18
38576,Окорок ягненка Мираторг на кости охлажденный,https://online.metro-cc.ru/products/okorok-yagnenka-na-kosti-vakuumnaya-upakovka-38576,Раскупили,,МИРАТОРГ
82844,"Стейк Мираторг Портерхаус из мраморной говядины на кости, 610г",https://online.metro-cc.ru/products/stejk-porterhaus-miratorg-na-kosti-610g-82844,Раскупили,,МИРАТОРГ
214312,"Шейка Останкино охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-sheyka-ostankino-ohl-vu,Раскупили,,ОСТАНКИНО
101555,Отруб плечелопаточный Любослава свиной охлажденный,https://online.metro-cc.ru/products/otrub-svinoj-plechelopatochnyj-ohlazhdennyj-rm-v-vakuumnoj-upakovke,Раскупили,,ЛЮБОСЛАВА
219695,"Гуляш Мясо есть! из говядины охлажденный, 600г",https://online.metro-cc.ru/products/600g-gulyash-iz-govyadiny-myaso-est-ohl-vu,Раскупили,,МЯСО ЕСТЬ!
96145,Карбонад Ближние горки из свинины охлажденный,https://online.metro-cc.ru/products/art_96145,Раскупили,,БЛИЖНИЕ ГОРКИ
213030,"Тушка кролика Мазайцево в горчично-медовом маринаде охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-tushka-krolika-v-gorchmed-marinade-mazaytsevo-ohl,Раскупили,,МАЗАЙЦЕВО
203296,"Баранина для бульона Эколь Халяль охлажденная, 400г",https://online.metro-cc.ru/products/400g-baranina-dlya-bulona-ekol-ohl-lotok,Раскупили,,ЭКОЛЬ
635622,Мускул глазной Orenbeef говяжий охлажденный,https://online.metro-cc.ru/products/glaznoj-muskul-govyazhij-635622,Раскупили,,ORENBEEF
637636,Кострец Мираторг из телятины охлажденный,https://online.metro-cc.ru/products/kostrec-iz-miratorg-v-u,Раскупили,,МИРАТОРГ
573746,Отруб Мираторг Три-тип говяжий,https://online.metro-cc.ru/products/otrub-miratorg-tri-tip-govyazhij,Раскупили,,МИРАТОРГ
216646,"Шейка свиная на кости охлажденные, ~1.5кг",https://online.metro-cc.ru/products/15kg-sheyka-svinaya-nk-ohl-vu,Раскупили,,Без бренда
658501,Лопатка Мясной удар говяжья мелкий кусок охлажденная,https://online.metro-cc.ru/products/lopatka-govyazhya-melkij-kusok-vakuumnaya-upakovka-udar,Раскупили,,МЯСНОЙ УДАР
569758,Вырезка Мясной удар говяжья,https://online.metro-cc.ru/products/vyrezka-govyazhya-udar,Раскупили,,МЯСНОЙ УДАР
216653,"Окорок свиной на кости охлажденный, ~1.5кг",https://online.metro-cc.ru/products/15kg-okorok-svinoy-na-kosti-ohl-vu,Раскупили,,Без бренда
658504,Оковалок Мясной удар мелкий кусок охлажденный,https://online.metro-cc.ru/products/okovalok-melkij-kusok-udar,Раскупили,,МЯСНОЙ УДАР
96159,"Карбонад свиной БЛИЖНИЕ ГОРКИ охлажденный, 1 кг",https://online.metro-cc.ru/products/karbonad-svinoj-blizhnie-gorki-1-kg,Раскупили,,БЛИЖНИЕ ГОРКИ
110707,"Часть лопатки Мясники передняя без кости охлажденная, ~1.6кг",https://online.metro-cc.ru/products/chast-perednyaya-lopatochnogo-otruba-bez-kozhi-ohlazhdennaya-myasniki-v-vakuumnoj-upakovke,Раскупили,,МЯСНИКИ
207154,"Ребрышки Мираторг для гриля говяжьи Black Angus охлажденные, ~900г",https://online.metro-cc.ru/products/900g-rebryshki-dlya-grilya-govyazhi-miratorg-black-angus-ohl,999,,МИРАТОРГ
667703,"Грудинка Мираторг говяжья без кости охлажденная, 800г",https://online.metro-cc.ru/products/grudinka-govyazhya-bez-kosti-800g,Раскупили,,МИРАТОРГ
662781,"Баранина Эколь Халяль духовая охлажденная, ~600г",https://online.metro-cc.ru/products/ekol-duhovaya,Раскупили,,ЭКОЛЬ
611976,Диафрагма Мираторг говяжья тонкая внешняя,https://online.metro-cc.ru/products/diafragma-tonkaya-vneshnyaya-miratorg-v-u,Раскупили,,МИРАТОРГ
96156,Вырезка Ближние горки свиная охлажденная,https://online.metro-cc.ru/products/art_96156,Раскупили,,БЛИЖНИЕ ГОРКИ
98351,"Корейка Мясо есть! из баранины охлажденная, 500г",https://online.metro-cc.ru/products/korejka-iz-myaso-est-500-g,Раскупили,,МЯСО ЕСТЬ!
658502,Край тонкий Мясной удар говяжий мелкий кусок охлажденный,https://online.metro-cc.ru/products/tonkij-kraj-govyazhij-udar-melkij-kusok,Раскупили,,МЯСНОЙ УДАР
98349,"Фланк стейк говяжий Мясо есть! охлажденный, 300г",https://online.metro-cc.ru/products/flank-stejk-govyazhij-myaso-est-300g,Раскупили,,МЯСО ЕСТЬ!
106345,"Стейк Заречное Рибай Skin из говядины охлажденный, 400г",https://online.metro-cc.ru/products/stejk-ribaj-skin-iz-zarechnoe-400-g,Раскупили,,ЗАРЕЧНОЕ
654465,"Стейк Primebeef Топ Сирлойн из мраморной говядины охлажденный, 400г",https://online.metro-cc.ru/products/stejk-prajmbif-top-sirlojn-govyazhij-mramonyj-400-g,Раскупили,,PRIMEBEEF
207129,"Филе-стейк Мираторг свинина охлажденный, 300г",https://online.metro-cc.ru/products/300-file-steyk-miratorg-svinina-ohl-vu,Раскупили,,МИРАТОРГ
216647,"Грудинка свиная на кости охлажденная, ~1.5кг",https://online.metro-cc.ru/products/15kg-grudinka-svinaya-nk-ohl-vu,Раскупили,,Без бренда
40572,Печень говяжья Эколь Халяль охлажденная,https://online.metro-cc.ru/products/pechen-govyazhya-vakuumnaya-upakovka-ekol-40572,Раскупили,,ЭКОЛЬ
121540,Гуляш Йола из свинины без кости охлажденный,https://online.metro-cc.ru/products/gulyash-svinoj-b-k-ohl-mga,Раскупили,,ЙОЛА
212629,"Поджарка Bazarco из баранины охлажденная, 400г",https://online.metro-cc.ru/products/400g-podzharka-iz-baraniny-bazarco-ohl-lotok,Раскупили,,BAZARCO
611027,"Стейк Мираторг Prime skin Мачете из говядины, 480г",https://online.metro-cc.ru/products/stejk-machete-govyazhij-miratorg-prime-skin-480g,Раскупили,,МИРАТОРГ
642230,Лопатка Слово мясника свиная охлажденная,https://online.metro-cc.ru/products/lopatka-slovo-myasnika,Раскупили,,СЛОВО МЯСНИКА
509168,Вырезка Мираторг DF свиная охлажденная,https://online.metro-cc.ru/products/vyrezka-df,Раскупили,,МИРАТОРГ
78739,Часть бедра Мираторг Фермерский бычок говяжья внешняя охлажденная,https://online.metro-cc.ru/products/chast-vneshnyaya-bedra-fermerskij-bychok-miratorg-78739,Раскупили,,МИРАТОРГ
210463,"Печень кролика Мазайцево охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-pechen-krolika-mazaytsevo-vu-ohl,Раскупили,,МАЗАЙЦЕВО
212625,"Шея Bazarco на кости, ~1кг",https://online.metro-cc.ru/products/1kg-sheya-na-kosti-bazarco-ohl-vu,Раскупили,,BAZARCO
545210,"Шея свиная охлажденная, ~1кг",https://online.metro-cc.ru/products/sheya-v-vakuumnoj-upakovke-545210,Раскупили,,Без бренда
97500,"Лопатка Мираторг ягненка на кости охлажденная, 620г",https://online.metro-cc.ru/products/lopatka-yagnenka-miratorg-na-kosti-620-g-97500,Раскупили,,МИРАТОРГ
